iter	Passed	Remaining
0	156	156674
1	158	78854
2	158	52764
3	159	39698
4	160	31864
5	161	26673
6	161	22966
7	164	20363
8	164	18165
9	165	16398
10	166	14953
11	166	13745
12	167	12725
13	168	11849
14	169	11103
15	169	10442
16	170	9860
17	171	9334
18	171	8863
19	172	8437
20	172	8053
21	173	7705
22	173	7390
23	174	7103
24	175	6844
25	176	6593
26	176	6360
27	177	6155
28	177	5957
29	178	5773
30	179	5598
31	179	5435
32	180	5283
33	181	5150
34	181	5012
35	182	4884
36	182	4759
37	183	4642
38	183	4530
39	184	4423
40	184	4322
41	185	4226
42	185	4134
43	186	4046
44	186	3962
45	187	3882
46	187	3805
47	188	3731
48	188	3661
49	189	3593
50	189	3528
51	190	3465
52	190	3404
53	190	3346
54	192	3299
55	192	3249
56	193	3197
57	193	3147
58	194	3098
59	194	3050
60	195	3004
61	195	2961
62	196	2924
63	197	2884
64	198	2851
65	198	2812
66	199	2773
67	199	2736
68	200	2700
69	200	2665
70	201	2630
71	201	2597
72	202	2565
73	202	2533
74	202	2502
75	203	2472
76	203	2443
77	204	2415
78	204	2387
79	205	2360
80	205	2333
81	206	2308
82	206	2281
83	207	2260
84	207	2237
85	208	2214
86	208	2191
87	209	2169
88	209	2148
89	210	2129
90	211	2110
91	211	2089
92	212	2069
93	212	2049
94	213	2030
95	213	2011
96	214	1992
97	214	1974
98	214	1956
99	215	1939
100	215	1921
101	216	1905
102	216	1888
103	217	1872
104	217	1856
105	218	1840
106	218	1825
107	219	1810
108	219	1795
109	220	1781
110	220	1766
111	221	1753
112	222	1742
113	222	1730
114	223	1717
115	223	1705
116	224	1692
117	224	1680
118	225	1668
119	225	1655
120	226	1643
121	226	1631
122	227	1619
123	227	1607
124	228	1596
125	228	1585
126	228	1573
127	229	1562
128	229	1552
129	230	1541
130	230	1531
131	231	1520
132	231	1511
133	232	1501
134	232	1491
135	233	1481
136	233	1471
137	234	1462
138	234	1453
139	235	1444
140	235	1435
141	236	1426
142	236	1419
143	238	1418
144	239	1414
145	240	1408
146	241	1400
147	241	1392
148	242	1384
149	243	1378
150	243	1370
151	244	1363
152	244	1356
153	245	1348
154	246	1341
155	246	1334
156	247	1327
157	247	1320
158	248	1313
159	249	1307
160	249	1299
161	249	1292
162	250	1285
163	251	1283
164	253	1283
165	254	1277
166	254	1270
167	255	1264
168	255	1257
169	256	1251
170	256	1244
171	257	1238
172	257	1232
173	258	1225
174	258	1219
175	259	1213
176	259	1207
177	260	1200
178	260	1194
179	261	1189
180	261	1183
181	261	1177
182	262	1171
183	262	1166
184	263	1160
185	263	1154
186	264	1149
187	264	1143
188	265	1138
189	266	1136
190	267	1132
191	267	1127
192	268	1123
193	269	1118
194	270	1115
195	270	1111
196	271	1107
197	272	1102
198	272	1097
199	273	1093
200	274	1089
201	274	1084
202	275	1080
203	275	1075
204	276	1070
205	276	1066
206	277	1063
207	278	1060
208	280	1059
209	283	1065
210	284	1062
211	284	1059
212	289	1071
213	290	1068
214	291	1064
215	292	1060
216	292	1056
217	294	1054
218	295	1052
219	297	1053
220	297	1050
221	298	1046
222	299	1042
223	299	1038
224	300	1034
225	300	1030
226	301	1026
227	302	1023
228	302	1019
229	303	1015
230	303	1011
231	304	1008
232	305	1004
233	305	1000
234	306	996
235	306	992
236	307	988
237	307	984
238	308	982
239	309	979
240	309	976
241	313	981
242	313	977
243	314	974
244	315	971
245	315	967
246	316	964
247	317	961
248	317	958
249	318	955
250	319	952
251	319	949
252	320	947
253	321	945
254	324	947
255	325	945
256	326	943
257	327	941
258	328	939
259	329	936
260	329	934
261	330	931
262	331	929
263	332	926
264	333	923
265	333	920
266	334	918
267	335	915
268	335	912
269	336	910
270	337	908
271	338	905
272	339	904
273	340	901
274	340	898
275	341	896
276	342	893
277	342	890
278	343	887
279	344	884
280	344	881
281	345	879
282	345	876
283	346	873
284	346	870
285	347	867
286	347	864
287	348	861
288	348	858
289	349	855
290	349	852
291	350	849
292	350	846
293	351	843
294	351	840
295	352	837
296	352	835
297	353	832
298	353	829
299	354	827
300	355	825
301	355	822
302	356	819
303	356	816
304	357	814
305	357	811
306	358	808
307	358	805
308	359	803
309	359	800
310	360	797
311	360	794
312	360	792
313	361	789
314	361	787
315	362	784
316	362	781
317	363	779
318	364	777
319	364	775
320	365	773
321	365	770
322	366	768
323	367	766
324	367	763
325	368	761
326	369	759
327	369	757
328	370	755
329	370	752
330	371	750
331	372	749
332	373	747
333	373	744
334	374	742
335	374	740
336	375	737
337	375	735
338	376	733
339	376	730
340	377	729
341	378	728
342	380	728
343	381	727
344	382	725
345	383	724
346	384	723
347	385	721
348	385	719
349	386	718
350	387	716
351	388	714
352	388	712
353	388	709
354	389	707
355	390	706
356	390	704
357	391	701
358	391	699
359	392	697
360	392	695
361	393	693
362	393	690
363	394	688
364	394	686
365	395	684
366	395	682
367	396	681
368	397	679
369	398	677
370	398	675
371	399	673
372	399	671
373	400	669
374	400	667
375	400	665
376	401	663
377	401	661
378	402	659
379	402	657
380	403	655
381	403	653
382	404	651
383	404	649
384	405	647
385	405	645
386	406	643
387	406	641
388	407	639
389	407	637
390	408	635
391	408	633
392	409	631
393	409	630
394	410	628
395	410	626
396	411	624
397	412	623
398	412	621
399	413	619
400	413	617
401	414	616
402	414	614
403	415	612
404	415	610
405	415	608
406	416	606
407	416	604
408	417	603
409	417	601
410	418	599
411	418	597
412	419	596
413	419	594
414	420	592
415	420	590
416	421	588
417	421	587
418	422	585
419	422	583
420	423	581
421	423	580
422	424	578
423	424	576
424	424	574
425	425	573
426	425	571
427	426	570
428	427	569
429	428	567
430	428	565
431	428	564
432	429	562
433	429	560
434	430	558
435	430	557
436	431	555
437	432	554
438	432	552
439	432	551
440	433	549
441	433	547
442	434	546
443	434	544
444	435	542
445	435	541
446	436	539
447	436	538
448	437	536
449	437	534
450	438	533
451	438	531
452	438	530
453	439	528
454	439	526
455	440	525
456	440	523
457	441	522
458	442	521
459	442	519
460	443	518
461	443	516
462	444	515
463	445	514
464	445	512
465	446	511
466	446	509
467	447	508
468	447	506
469	448	505
470	448	503
471	448	502
472	449	500
473	449	499
474	450	497
475	450	496
476	451	494
477	451	493
478	452	491
479	452	490
480	453	489
481	453	487
482	454	486
483	454	484
484	455	483
485	455	481
486	456	480
487	456	479
488	457	478
489	458	476
490	459	476
491	461	476
492	461	474
493	462	473
494	462	472
495	463	470
496	463	469
497	464	468
498	464	466
499	465	465
500	465	464
501	466	462
502	466	461
503	467	459
504	467	458
505	468	457
506	468	455
507	469	454
508	469	453
509	470	451
510	470	450
511	471	449
512	473	449
513	474	448
514	474	447
515	475	445
516	475	444
517	476	443
518	476	441
519	477	440
520	477	439
521	478	437
522	478	436
523	478	435
524	479	433
525	479	432
526	480	431
527	480	429
528	481	428
529	481	427
530	482	425
531	482	424
532	483	423
533	483	421
534	484	420
535	484	419
536	484	418
537	485	416
538	485	415
539	487	414
540	487	414
541	488	412
542	489	411
543	489	410
544	490	409
545	490	408
546	491	407
547	492	405
548	492	404
549	493	403
550	493	402
551	494	401
552	495	400
553	495	398
554	496	397
555	496	396
556	497	395
557	498	394
558	498	393
559	499	392
560	499	391
561	500	390
562	501	389
563	502	388
564	502	387
565	503	385
566	503	384
567	504	383
568	504	382
569	505	381
570	505	380
571	506	378
572	506	377
573	507	376
574	507	375
575	508	374
576	508	373
577	509	371
578	509	370
579	510	369
580	511	368
581	511	367
582	512	366
583	512	365
584	513	364
585	514	363
586	515	362
587	516	361
588	517	360
589	517	359
590	518	358
